t_us,bmp_T,bmp_P,bmp_alt,bmp_alt_rel,ax,ay,az,gx,gy,gz,lis_ax,lis_ay,lis_az,g_bx,g_by,g_bz,a_vertical,kf_h,kf_v,P00,P01,P10,P11,gps_x,gps_y,gps_z,gps_vx,gps_vy,gps_vz
0,19.9886534830635,101320.69404885,-0.00564968893560396,0,-0.00791455560128524,-0.0101207862070638,9.66082358048939,-0.0133414792061977,0.0116661918107688,0.006999923383796,-0.0493250748394015,-0.0681363785468928,9.72004120303443,-0.000158336084725039,-0.000202473233254618,9.7999999966293,-0.13917608585915,0,0,0.00567758101241909,0,0,1,-0.404517884991576,1.1447985198317,1.59940602654981,1.71513802174821,-0.581495549936533,-0.0662614572176161
20000,19.9929033223465,101331.937857261,0.10462446300031,0.110274151935914,0.0339559352274065,0.279182777311303,0.279636661203379,0.00251211320410515,0.0291542856093815,0.00600361373244654,0.308412188075005,-0.205326278433847,-0.045274485113538,-0.000158336084725039,-0.000202473233254618,9.7999999966293,-9.5203696555754,0.0568727962182394,0.190418073599079,0.0029440319863825,0.00968864386072404,0.00968864386072404,0.966163671394338,NaN,NaN,NaN,NaN,NaN,NaN
40000,20.0595556310047,101332.807891708,-0.128132235159694,-0.12248254622409,0.235174545966575,0.28572693224416,-0.0803953697720311,0.0160531364497127,0.0261940154412356,0.00529759949642597,-0.00625477503785699,0.0160021657075961,-0.0388144631016153,-0.000158336084725039,-0.000202473233254618,9.7999999966293,-9.88040507267016,-0.0115742082902909,-0.376909843162607,0.00225178491698472,0.0175699555283364,0.0175699555283364,0.876900335301407,NaN,NaN,NaN,NaN,NaN,NaN
60000,20.0400003278588,101327.699122019,-0.176403494515731,-0.170753805580127,-0.0117444603093849,0.167788843367493,0.0755517953993755,0.0206558980892394,0.0260512002114856,-0.000636022347634751,0.152417561776893,0.206240185072583,0.00316032008543266,-0.000158336084725039,-0.000202473233254618,9.7999999966293,-9.72445148148148,-0.0747131489337865,-0.968059480929083,0.00209345368228757,0.0222335022765739,0.0222335022765739,0.740162644940927,NaN,NaN,NaN,NaN,NaN,NaN
80000,20.0385331122555,101317.031247227,-0.0984476945007693,-0.0927980055651654,-0.0276653738253987,-0.00178275881072178,0.0766570548647936,0.0198821897004937,0.0135377782443564,-0.00728537654713402,0.0416498803017077,-0.0672580408589657,-0.21433768265501,-0.000158336084725039,-0.000202473233254618,9.7999999966293,-9.72334246134648,-0.0936119418666189,-0.963276841211222,0.00208268182287435,0.0235143703806059,0.0235143703806059,0.587205732517671,NaN,NaN,NaN,NaN,NaN,NaN
100000,19.9395753917927,101320.814287747,0.174741998840654,0.180391687776258,0.104431631503281,0.186673822938292,0.0463578197520595,0.00474939651351651,0.000916974715823802,0.00483159132431247,-0.227580850722524,0.143358477672265,0.0737610304622662,-0.000158336084725039,-0.000202473233254618,9.7999999966293,-9.75364772431982,-0.00634501646112193,0.188222415792974,0.00207434158126099,0.0224404982528078,0.0224404982528078,0.448526452711363,-0.481933177913445,0.391070344369665,-0.390560975747372,1.89384323287407,-0.607138401049631,-0.501094885782089
120000,20.0477795698282,101314.620420183,-0.307754229636371,-0.302104540700767,0.127044969512637,0.0218196998729632,0.106933072902624,0.037678551496179,-0.0178917482806763,0.0258389435216536,-0.0869848708999284,-0.0845925175028486,0.153875572972212,-0.000158336084725039,-0.000202473233254618,9.7999999966293,-9.69306943057377,-0.109104381530943,-0.873819194946519,0.0020307480630257,0.0202496927294436,0.0202496927294436,0.33776665053142,NaN,NaN,NaN,NaN,NaN,NaN
140000,20.0265974228891,101332.339108713,-0.0322470751207454,-0.0265973861851414,-0.111893266455266,0.0333345005623723,-0.128710005148241,0.000524776636272034,0.0164971192955996,0.0101715698733532,-0.0639179743347034,-0.00100340920469155,0.0468601612513985,-0.000158336084725039,-0.000202473233254618,9.7999999966293,-9.92870888598177,-0.0923570034311185,-0.567571179910444,0.00195630014590529,0.0177547409401567,0.0177547409401567,0.254218629124933,NaN,NaN,NaN,NaN,NaN,NaN
160000,19.9744840172711,101326.412813029,0.0586132149407556,0.0642629038763596,-0.00570616697319636,-0.0390987424514275,0.111449922588618,0.0530970800103821,-0.0135694824499791,0.0230925628586054,0.265409519299627,0.345169171489338,0.0924743307501387,-0.000158336084725039,-0.000202473233254618,9.7999999966293,-9.68854917745574,-0.0488610656937545,-0.114711649881396,0.00186446004001573,0.0153922244523634,0.0153922244523634,0.193355516168222,NaN,NaN,NaN,NaN,NaN,NaN
180000,19.9309094822475,101331.041439485,-0.481735359546547,-0.476085670610943,-0.1304782190539,0.0549573057394949,0.0274588487362307,0.0344025046479552,-0.00298720052410154,0.028312662649303,0.557836857175998,0.162926224441906,0.422122959482187,-0.000158336084725039,-0.000202473233254618,9.7999999966293,-9.7725401786174,-0.0511681082591061,-0.115992606653766,0.00255796552864858,0.0192881349167666,0.0192881349167666,0.194372503665672,NaN,NaN,NaN,NaN,NaN,NaN
